timestamp,rtt_ms,src_ip,dst_ip,packet_size
2026-05-13 10:03:47.954993010,350.85699999999997,192.168.4.189,172.217.130.234,66
2026-05-13 10:03:47.955040932,0.047,172.217.130.234,192.168.4.189,66
2026-05-13 10:03:47.965977907,361.739,192.168.4.189,172.217.130.234,66
2026-05-13 10:03:47.966017962,0.04,172.217.130.234,192.168.4.189,66
2026-05-13 10:03:48.192795038,22.565,192.168.4.189,142.250.205.99,66
2026-05-13 10:03:48.192838907,0.043000000000000003,142.250.205.99,192.168.4.189,66
2026-05-13 10:03:48.215758085,22.540999999999997,192.168.4.189,142.250.205.99,1812
2026-05-13 10:03:48.241698027,0.025,142.250.205.99,192.168.4.189,1466
2026-05-13 10:03:48.242052078,0.28400000000000003,142.250.205.99,192.168.4.189,1346
2026-05-13 10:03:48.253484011,0.013,172.217.130.234,192.168.4.189,66
2026-05-13 10:03:48.269996881,77.41199999999999,192.168.4.189,74.125.130.132,66
2026-05-13 10:03:48.270073891,0.077,74.125.130.132,192.168.4.189,66
2026-05-13 10:03:48.270592928,28.54,192.168.4.189,142.250.205.99,128
2026-05-13 10:03:48.286009073,0.077,172.217.130.234,192.168.4.189,66
2026-05-13 10:03:48.316188097,360.78700000000003,192.168.4.189,172.217.130.234,1893
2026-05-13 10:03:48.316276073,0.087,172.217.130.234,192.168.4.189,454
2026-05-13 10:03:48.317620039,351.088,192.168.4.189,172.217.130.234,1797
2026-05-13 10:03:48.318378925,0.008,172.217.130.234,192.168.4.189,1462
2026-05-13 10:03:48.331613064,61.028,192.168.4.189,74.125.130.132,1841
2026-05-13 10:03:48.331691027,0.077,172.217.130.234,192.168.4.189,453
2026-05-13 10:03:48.331895113,0.28200000000000003,74.125.130.132,192.168.4.189,1466
2026-05-13 10:03:48.336112976,0.034999999999999996,74.125.130.132,192.168.4.189,915
2026-05-13 10:03:48.395226002,58.717,192.168.4.189,74.125.130.132,128
2026-05-13 10:03:48.444546938,49.32,74.125.130.132,192.168.4.189,1010
2026-05-13 10:03:48.667449951,33.714,192.168.4.189,142.250.205.142,66
2026-05-13 10:03:48.667481899,0.031,142.250.205.142,192.168.4.189,66
2026-05-13 10:03:48.677467108,360.646,192.168.4.189,172.217.130.234,118
2026-05-13 10:03:48.688277006,356.20099999999996,192.168.4.189,172.217.130.234,118
